"Config","OCR_module","Filename","OCR_Time"
"186","docTR","example8",2.57333016395569
"85","TesseractOCR","example18",0.58544397354126
"85","KerasOCR","example18",14.5003175735474
"85","EasyOCR","example18",2.58675193786621
"85","PaddleOCR","example18",3.51859641075134
"85","docTR","example18",5.69681978225708
"72","TesseractOCR","example8",0.890969753265381
"72","KerasOCR","example8",12.1781301498413
"72","EasyOCR","example8",2.243727684021
"72","PaddleOCR","example8",5.15568351745605
"72","docTR","example8",4.86673021316528
"71","TesseractOCR","example19",0.447708368301392
"71","KerasOCR","example19",14.7002186775208
"71","EasyOCR","example19",2.5844874382019
"71","PaddleOCR","example19",3.8041079044342
"71","docTR","example19",4.87109136581421
"232","TesseractOCR","example13",1.4295859336853
"232","KerasOCR","example13",3.32500147819519
"232","EasyOCR","example13",2.18892359733582
"232","PaddleOCR","example13",4.52261734008789
"232","docTR","example13",5.12624144554138
"373","TesseractOCR","example29",0.648012399673462
"373","KerasOCR","example29",14.3770627975464
"373","EasyOCR","example29",2.57514095306396
"373","PaddleOCR","example29",1.81817483901978
"373","docTR","example29",4.66389465332031
"49","TesseractOCR","example5",1.57840967178345
"49","KerasOCR","example5",3.59309220314026
"49","EasyOCR","example5",2.32282423973083
"49","PaddleOCR","example5",4.59133505821228
"49","docTR","example5",4.24898791313171
"339","TesseractOCR","example25",0.201524019241333
"339","KerasOCR","example25",1.92969107627869
"339","EasyOCR","example25",2.23152208328247
"339","PaddleOCR","example25",1.6068274974823
"339","docTR","example25",2.55072999000549
"81","TesseractOCR","example5",1.66217136383057
"81","KerasOCR","example5",9.90444159507751
"81","EasyOCR","example5",2.23556137084961
"81","PaddleOCR","example5",5.34635806083679
"81","docTR","example5",4.73109865188599
"248","TesseractOCR","example3",1.45539903640747
"248","KerasOCR","example3",14.0902345180511
"248","EasyOCR","example3",2.39251661300659
"248","PaddleOCR","example3",3.45545768737793
"248","docTR","example3",3.69295978546143
"316","TesseractOCR","example23",0.542819261550903
"316","KerasOCR","example23",4.11330008506775
"316","EasyOCR","example23",2.46250462532043
"316","PaddleOCR","example23",2.13043665885925
"316","docTR","example23",4.20368242263794
"199","TesseractOCR","example8",0.559655666351318
"199","KerasOCR","example8",3.48966526985168
"199","EasyOCR","example8",2.38247299194336
"199","PaddleOCR","example8",2.73230957984924
"199","docTR","example8",5.38034057617188
"325","TesseractOCR","example20",0.611279249191284
"325","KerasOCR","example20",2.68304967880249
"325","EasyOCR","example20",2.35946989059448
"325","PaddleOCR","example20",1.39636993408203
"325","docTR","example20",3.23762106895447
"62","TesseractOCR","example3",0.962950944900513
"62","KerasOCR","example3",3.22394061088562
"62","EasyOCR","example3",2.23954844474792
"62","PaddleOCR","example3",5.44224572181702
"62","docTR","example3",5.39400339126587
"284","TesseractOCR","example23",0.532326459884644
"284","KerasOCR","example23",3.23430037498474
"284","EasyOCR","example23",2.40562772750854
"284","PaddleOCR","example23",4.28865551948547
"284","docTR","example23",6.12200427055359
"107","TesseractOCR","example6",1.60417795181274
"107","KerasOCR","example6",3.30855846405029
"107","EasyOCR","example6",2.18771767616272
"107","PaddleOCR","example6",5.50353169441223
"107","docTR","example6",5.71677756309509
"61","TesseractOCR","example4",0.919108390808105
"61","KerasOCR","example4",3.81834030151367
"61","EasyOCR","example4",2.22274994850159
"61","PaddleOCR","example4",4.19377017021179
"61","docTR","example4",3.79725003242493
"174","TesseractOCR","example4",1.13030219078064
"174","KerasOCR","example4",2.97335338592529
"174","EasyOCR","example4",2.22035646438599
"174","PaddleOCR","example4",3.38028025627136
"174","docTR","example4",3.71633386611938
"170","TesseractOCR","example1",1.25257754325867
"170","KerasOCR","example1",4.39409828186035
"170","EasyOCR","example1",2.2114155292511
"170","PaddleOCR","example1",5.64624333381653
"170","docTR","example1",5.87173652648926
"18","TesseractOCR","example6",1.41018104553223
